Country,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission
Malta,30.46875,15.02851313,14.90777938,18.40179098,2.2761875,3.720949835,0,1.086468118,52.46281133,14.23750025,0.75,5030.880827,239.316981,21.56065694,0,58.62783068,21370.67194,0,0,16.30625,2.021182993,9.408738301,73.113625,0,0,0,25.7135625,1.512347806,0.287551886,0.139772773,0.161216363,0,0.558850514,349900.75,1106.239437,0,65.97525,103.8078987,583.60008,0,4.98502983,9.555625,1882414947,357.7055021,-6.419217734,0.603852197,79.69265,0.465960938,1379.125
Anguilla,0,0,0,0,0,0.894158185,0,0,0,0,0,0,0,0,0,0,31870.84473,0,0,0,0,0,0,47.70354906,49.55686854,0,0,0,0,0,0,0,0,8575,93.4244375,0,0,0,0,0,0,18.8375,0,0,0,0,0,0,12.14583333
Belize,4.178540114,14.50867687,15.70522875,8.870178583,5.09475,1.198792102,0,0.102839703,31.68480038,22.00624979,3722.5,1998.270594,31.22881353,0.013191962,0,36.38369734,8362.95083,0,0,21.35,2.738186956,2.095649645,67.2425,0,0,1.93749994,15.482,0.463303307,7.355617314,9.558604001,0.937297493,0,2.370031529,174542.875,7.531875,7.45,23.3450625,80832.45889,0,0,7.353164141,34.45,444330031.3,52.51220741,-4.672860359,8.015355349,42.8181375,2.071591717,236.2708333
Panama,21.85061878,14.03849312,14.60253813,17.72536352,4.062,1.491611603,1.4375,0.581139666,45.91237397,29.97499943,8422.5,2982.26179,81.30916589,0.538602145,0,41.76188118,6251.658424,0.270625,13.210625,40.29375,4.971739953,5.347228596,69.074625,50.49732154,54.05314942,0.881249979,18.045625,0.869635462,4.148178563,7.45465125,0.78691725,0,1.981031903,2120166.438,27.8945625,3.36375,69.0075625,51145.38644,227.1272903,3.187422563,4.067191746,120.025,7447911288,118.5523007,3.644276205,7.8080225,48.959375,3.021198399,3432
United States of America,37.51020666,15.28702625,15.14913125,18.40290421,2.3562525,18.72709985,10,6.535312872,7.481631022,41.13749981,750487.5,23103.97521,854.9803699,11.20166371,9.889999807,9.323822297,29510.26333,0.469540517,7.463165933,14.96875,2.837674136,17.17234976,73.7310625,0,0,0.324999998,27.416875,1.561,7.380192813,11.61205738,3.239426187,2.404768864,0.957745561,237641076.6,24.6093125,0,49.8914375,8825.423125,2834.688393,10.54945744,1.914013403,60.178625,5.92438E+12,1898.351985,-1.527512316,20.1492375,66.3194875,1.260353828,4479347.354
Indonesia,19.23545598,11.73738313,12.20584688,8.449680296,4.0788125,0.783611433,-2.25,0.383572827,21.07583345,31.0562501,248522.5,487.9272218,4.620700686,4.162737063,0,19.18094287,3839.933156,0,0,88.95,24.8493472,1.213589531,57.5774375,42.41533889,50.6405135,0,18.5340625,0.069583949,1.814163923,2.928754986,0.737821743,0.12463358,1.65087976,158301333,82.7945,37.814375,62.7883125,12658.58,65.1749666,0,5.140979234,11.625,94821393106,10.71180806,2.835140207,4.629666924,25.8724,3.747787726,151995.25
Romania,51.70373617,14.00537125,14.1633925,17.79891218,2.138248957,5.301645709,-1.5625,1.548882672,11.65742138,43.25000048,15915,1185.49609,68.05660463,1.603398357,0,15.20293272,7671.442683,1.29125,8.415,44.3125,20.61820875,5.248383052,68.7614375,36.2662435,37.16529826,0.90625003,27.1708125,1.415362392,1.2565315,1.837358188,0.69680075,0.434335946,0.284061736,20891708.31,87.6891875,1.9225,67.244625,6646.623875,206.0782496,2.670427438,3.004858845,31.329375,26314366448,85.70721574,-3.545511343,4.908745625,41.2802375,1.053957059,113987.2708
Jordan,9.901263598,14.78172875,16.14489813,13.84339151,6.1358125,2.204336079,-5.625,0.63914591,29.14286948,9.71875,245,1216.366729,42.19955668,0.868711419,0,49.40987597,6651.483775,0.90375,13.09875,57.4375,3.584640407,3.791375489,64.0015625,0,0,0,15.1965625,0.900197357,1.391819447,2.380809904,0.335513704,0,3.299559556,2956543.813,32.6669375,3.98125,67.962125,260.9747625,232.2532823,0,7.430698676,7.25,4965867576,72.69707085,-20.49264616,5.090492606,59.203475,4.184744369,8465.416666
Andorra,35.7712766,14.97135688,14.63908375,17.4492089,0,2.19920844,0,0,0,0,40,12236.37286,506.3604575,6.535935146,0,0,85892.34871,0,0,1.51875,4.806603926,11.18646194,0,0,0,0,0,0.63725,0.13622117,0.198936783,0.073418861,0,3.24516313,43461.9375,92.207625,0,19.042375,0,0,0,0,1.44375,705954980.2,738.3395124,0,2.372893989,75.2466125,3.317704888,162.0208333
Mongolia,66.04452033,13.5305075,14.10874813,9.731093766,4.977125,2.993516871,-0.6875,0.541872742,21.5565324,40.34375048,29292.5,277.7499885,12.34004254,0.124745882,0,30.16874358,3764.645846,0,0,34.0625,15.87064512,1.719341547,57.0804375,24.44221293,24.42752986,0,16.9371875,1.455036639,0.609743536,1.113539726,0.115571179,0,1.840830332,1780478.563,1.1295625,0,65.9014375,13848.59,99.95654025,0,5.737979105,5.4375,664612493.9,19.60240962,-8.612211178,7.934440613,46.4030625,3.144871596,6029.833333
